image_path,class_name
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_2327maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_364maize_valid_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1442maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1036maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_499maize_valid_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/PlantVillage_Corn_Blight (775).JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_544maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/PlantVillage_Corn_Blight (108).jpg,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1604maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1783maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_526maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1603maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/PlantVillage_Corn_Blight (338).JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1747maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/PlantVillage_Corn_Blight (1114).jpg,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1647maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/PlantVillage_Corn_Blight (806).JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1674maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_543maize_valid_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_2356maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_779maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1929maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_974maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_1132maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_607maize_train_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_582maize_valid_leaf blight.JPG,Northern_Corn_Leaf_Blight
/content/maize-disease-detection/data/processed/Northern_Corn_Leaf_Blight/Mendeley_580maize_valid_leaf blight.JPG,Northern_Corn_Leaf_Blight
