image_path,class_name,lesion_score
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_547maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9063
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_647maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.364
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1082maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8909
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2515maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1995
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_111maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6335
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_624maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.0843
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1465maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9552
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_539maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7787
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_3713maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.0002
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2866maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3491
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1890maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3981
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_355maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.1508
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2087maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4276
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2852maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8157
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_684maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9496
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1102maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5043
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2102maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5106
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1309maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9787
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_80maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2522
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2518maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4853
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_36maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5118
